Depth,0.0150000,0.0200000,0.0250000,0.0300000,0.0400000,0.0500000,0.0600000,0.0800000,0.100000,mean ratio,slope,r,r-squared,normalizer
166,0.00748353,0.00712627,,0.00897898,0.0117080,0.00570475,0.00558228,0.00399679,0.00249737,0.00663475,0.00765451,0.972658,0.946064,2.01679
167,0.00801589,0.00753762,,0.00955208,0.0127533,0.00589934,0.00578390,0.00412651,0.00255785,0.00702831,0.00816785,0.969562,0.940050,1.68238
168,0.00876392,0.00813338,,0.0103367,0.0142665,0.00617505,0.00608053,0.00431993,0.00263902,0.00758937,0.00889151,0.965440,0.932074,1.34968
169,0.0100595,0.00912906,,0.0117129,0.0168314,0.00658954,0.00653823,0.00464952,0.00279365,0.00853797,0.0101195,0.957895,0.917562,0.972351
170,0.0120849,0.0106343,,0.0137087,0.0211111,0.00714289,0.00713257,0.00511631,0.00306839,0.00999990,0.0119680,0.945062,0.893142,0.613612
171,0.0145444,0.0123297,,0.0160091,0.0265573,0.00775440,0.00776883,0.00563722,0.00345417,0.0117569,0.0140454,0.928838,0.862740,0.388654
172,0.0172006,0.0140965,,0.0182486,0.0323701,0.00841297,0.00842535,0.00616226,0.00396546,0.0136102,0.0161815,0.914114,0.835604,0.340145
173,0.0212755,0.0167261,,0.0215625,0.0415459,0.00934285,0.00932412,0.00681867,0.00466706,0.0164078,0.0192857,0.891910,0.795504,0.500231
174,0.0289928,0.0212502,,0.0274263,0.0603162,0.0107175,0.0106225,0.00771865,0.00553432,0.0215723,0.0241441,0.842859,0.710411,0.809770
175,0.0422099,0.0277692,,0.0357821,0.104228,0.0122821,0.0120881,0.00866331,0.00636411,0.0311734,0.0289630,0.745790,0.556203,1.05998
176,0.0489469,0.0304269,,0.0388730,0.145317,0.0131234,0.0128590,0.00913175,0.00678111,0.0381823,0.0301413,0.705433,0.497636,1.06910
177,0.0336981,0.0244478,,0.0301054,0.0659117,0.0126053,0.0123254,0.00880519,0.00658299,0.0243102,0.0283656,0.857170,0.734740,0.799889
178,0.0214059,0.0177037,,0.0212650,0.0353184,0.0112912,0.0110227,0.00802123,0.00603741,0.0165082,0.0206541,0.941485,0.886394,0.483727
179,0.0151884,0.0134495,,0.0158919,0.0233160,0.0100015,0.00975579,0.00725740,0.00548185,0.0125428,0.0151355,0.969002,0.938965,0.718082
180,0.0118929,0.0109161,,0.0128523,0.0177305,0.00898238,0.00876075,0.00664725,0.00495358,0.0103420,0.0119321,0.978679,0.957813,1.24790
181,0.0100529,0.00942352,,0.0110848,0.0147154,0.00828214,0.00808491,0.00620385,0.00446429,0.00903899,0.0101051,0.983055,0.966397,1.78711
182,0.00902256,0.00860118,,0.0100545,0.0130169,0.00782761,0.00766898,0.00588921,0.00404908,0.00826625,0.00910069,0.985552,0.971313,2.21082
