Depth,0.00500000,0.0100000,0.0150000,0.0200000,0.0250000,0.0300000,0.0400000,0.0500000,0.0600000, mean ratio, slope, r, r-squared, ARM
204,0.153830,0.148252,0.144935,0.148243,,0.164165,0.189612,0.231991,0.278757,0.182473,0.139176,0.998058,0.996121,0.275342
205,0.155071,0.148929,0.145652,0.148278,,0.164119,0.188814,0.232284,0.279074,0.182778,0.140289,0.997874,0.995753,0.285959
206,0.160537,0.153875,0.150245,0.152859,,0.169000,0.194246,0.239894,0.289030,0.188711,0.145113,0.997703,0.995412,0.292697
207,0.168129,0.161053,0.157357,0.159689,,0.176657,0.203244,0.250945,0.303555,0.197579,0.151915,0.997652,0.995310,0.294903
208,0.175143,0.167875,0.163874,0.166358,,0.183795,0.211398,0.260686,0.316277,0.205676,0.158305,0.997656,0.995318,0.293116
209,0.179423,0.171865,0.168067,0.170561,,0.188493,0.216868,0.266112,0.323132,0.210565,0.162134,0.997698,0.995401,0.287653
210,0.181608,0.174492,0.170917,0.173567,,0.192345,0.220987,0.269363,0.326433,0.213714,0.164274,0.997920,0.995845,0.279961
211,0.183750,0.177150,0.174112,0.177331,,0.196936,0.225849,0.273465,0.329391,0.217248,0.166380,0.998234,0.996470,0.270652
212,0.187239,0.180967,0.178661,0.182153,,0.202540,0.231818,0.279103,0.332327,0.221851,0.169723,0.998494,0.996990,0.260948
213,0.190765,0.185270,0.183150,0.187522,,0.208544,0.238505,0.284894,0.336119,0.226846,0.173185,0.998736,0.997473,0.250521
214,0.193594,0.188538,0.187070,0.191823,,0.213451,0.244120,0.290324,0.341016,0.231242,0.175772,0.998914,0.997829,0.240499
215,0.195935,0.191117,0.190104,0.195203,,0.217318,0.249220,0.295660,0.347158,0.235214,0.177640,0.998999,0.997998,0.233417
216,0.197797,0.193358,0.192644,0.198244,,0.220713,0.254112,0.301226,0.354586,0.239085,0.179059,0.999078,0.998156,0.229115
217,0.200455,0.196049,0.195629,0.201524,,0.224503,0.259044,0.307002,0.362460,0.243333,0.181233,0.999108,0.998218,0.227372
218,0.203129,0.198600,0.198355,0.204456,,0.227764,0.262701,0.311862,0.369509,0.247047,0.183568,0.999127,0.998255,0.227016
219,0.204141,0.199423,0.199169,0.205411,,0.228625,0.263245,0.313363,0.372649,0.248253,0.184523,0.999130,0.998261,0.227529
220,0.202737,0.197833,0.197516,0.203769,,0.226771,0.260419,0.311062,0.370851,0.246370,0.183329,0.999116,0.998232,0.228860
