Sample ID	Run #	Sample Timestamp	Area	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X mean	X corr	Y intensity	Y mean	Y corr	Z intensity	Z mean	Z corr	Treatment Type	AF X	AF Y	AF Z	IRM Gauss	Meas. type	Drift corrected	X responce	Y responce	Z responce
C5A	60201	21/03/20 0016	3.80	0.34	-82.47	-82.47	-82.47	36.63	36.63	36.63	2.8971E-3	0.00	90.00	0.00	0.00	0.00	3.0469E-4	4.7354E-3	4.7355E-3	2.2651E-4	3.5807E-3	3.5807E-3	-2.8721E-3	-8.8017E-2	-7.2797E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.35	-81.38	-81.38	-81.38	35.45	35.45	35.45	2.5998E-3	0.00	90.00	0.00	0.00	0.00	3.1749E-4	4.9343E-3	4.9344E-3	2.2605E-4	3.5734E-3	3.5734E-3	-2.5704E-3	-8.0792E-2	-6.5150E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.36	-81.26	-81.26	-81.26	37.80	37.80	37.80	2.3098E-3	0.00	90.00	0.00	0.00	0.00	2.7741E-4	4.3113E-3	4.3114E-3	2.1515E-4	3.4010E-3	3.4011E-3	-2.2830E-3	-7.3918E-2	-5.7865E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.37	-81.92	-81.92	-81.92	43.11	43.11	43.11	2.0455E-3	0.00	90.00	0.00	0.00	0.00	2.0976E-4	3.2600E-3	3.2601E-3	1.9639E-4	3.1045E-3	3.1045E-3	-2.0252E-3	-6.7796E-2	-5.1331E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.38	-82.90	-82.90	-82.90	50.80	50.80	50.80	1.8254E-3	0.00	90.00	0.00	0.00	0.00	1.4252E-4	2.2149E-3	2.2150E-3	1.7474E-4	2.7622E-3	2.7623E-3	-1.8114E-3	-6.2775E-2	-4.5912E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.39	-83.91	-83.91	-83.91	60.17	60.17	60.17	1.6677E-3	0.00	90.00	0.00	0.00	0.00	8.7961E-5	1.3670E-3	1.3671E-3	1.5340E-4	2.4248E-3	2.4249E-3	-1.6583E-3	-5.9319E-2	-4.2031E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.40	-85.35	-85.35	-85.35	76.06	76.06	76.06	1.5611E-3	0.00	90.00	0.00	0.00	0.00	3.0463E-5	4.7334E-4	4.7346E-4	1.2274E-4	1.9402E-3	1.9402E-3	-1.5560E-3	-5.7149E-2	-3.9437E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.41	-86.75	-86.75	-86.75	117.17	117.17	117.17	1.5041E-3	0.00	90.00	0.00	0.00	0.00	-3.8913E-5	-6.0490E-4	-6.0478E-4	7.5818E-5	1.1985E-3	1.1985E-3	-1.5017E-3	-5.6200E-2	-3.8063E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.42	-85.79	-85.79	-85.79	168.08	168.08	168.08	1.5214E-3	0.00	90.00	0.00	0.00	0.00	-1.0918E-4	-1.6970E-3	-1.6969E-3	2.3055E-5	3.6441E-4	3.6446E-4	-1.5173E-3	-5.7009E-2	-3.8459E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.43	-84.37	-84.37	-84.37	184.05	184.05	184.05	1.6187E-3	0.00	90.00	0.00	0.00	0.00	-1.5832E-4	-2.4607E-3	-2.4606E-3	-1.1202E-5	-1.7713E-4	-1.7709E-4	-1.6109E-3	-5.9804E-2	-4.0830E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.44	-84.65	-84.65	-84.65	182.66	182.66	182.66	1.7477E-3	0.00	90.00	0.00	0.00	0.00	-1.6283E-4	-2.5308E-3	-2.5306E-3	-7.5723E-6	-1.1975E-4	-1.1970E-4	-1.7401E-3	-6.3490E-2	-4.4104E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.45	-85.50	-85.50	-85.50	171.20	171.20	171.20	1.8720E-3	0.00	90.00	0.00	0.00	0.00	-1.4531E-4	-2.2585E-3	-2.2584E-3	2.2487E-5	3.5542E-4	3.5547E-4	-1.8662E-3	-6.7098E-2	-4.7302E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.46	-85.63	-85.63	-85.63	160.16	160.16	160.16	1.9874E-3	0.00	90.00	0.00	0.00	0.00	-1.4229E-4	-2.2115E-3	-2.2114E-3	5.1347E-5	8.1164E-4	8.1169E-4	-1.9817E-3	-7.0437E-2	-5.0227E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.47	-85.46	-85.46	-85.46	155.56	155.56	155.56	2.1058E-3	0.00	90.00	0.00	0.00	0.00	-1.5179E-4	-2.3592E-3	-2.3591E-3	6.8986E-5	1.0905E-3	1.0905E-3	-2.0992E-3	-7.3839E-2	-5.3207E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.48	-85.50	-85.50	-85.50	151.17	151.17	151.17	2.2213E-3	0.00	90.00	0.00	0.00	0.00	-1.5283E-4	-2.3754E-3	-2.3753E-3	8.4131E-5	1.3299E-3	1.3299E-3	-2.2144E-3	-7.7185E-2	-5.6127E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.49	-85.84	-85.84	-85.84	136.89	136.89	136.89	2.3075E-3	0.00	90.00	0.00	0.00	0.00	-1.2228E-4	-1.9007E-3	-1.9005E-3	1.1446E-4	1.8094E-3	1.8094E-3	-2.3014E-3	-7.9804E-2	-5.8332E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.50	-85.60	-85.60	-85.60	107.52	107.52	107.52	2.3616E-3	0.00	90.00	0.00	0.00	0.00	-5.4522E-5	-8.4752E-4	-8.4737E-4	1.7271E-4	2.7302E-3	2.7302E-3	-2.3547E-3	-8.1577E-2	-5.9682E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.51	-83.93	-83.93	-83.93	80.43	80.43	80.43	2.3807E-3	0.00	90.00	0.00	0.00	0.00	4.1835E-5	6.5005E-4	6.5020E-4	2.4810E-4	3.9219E-3	3.9220E-3	-2.3674E-3	-8.2311E-2	-6.0004E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.52	-81.22	-81.22	-81.22	62.01	62.01	62.01	2.3525E-3	0.00	90.00	0.00	0.00	0.00	1.6855E-4	2.6194E-3	2.6196E-3	3.1713E-4	5.0131E-3	5.0131E-3	-2.3250E-3	-8.1663E-2	-5.8929E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.53	-78.67	-78.67	-78.67	49.88	49.88	49.88	2.2570E-3	0.00	90.00	0.00	0.00	0.00	2.8584E-4	4.4424E-3	4.4426E-3	3.3918E-4	5.3616E-3	5.3617E-3	-2.2129E-3	-7.9249E-2	-5.6089E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
